ALL,308,13834294,
BQ,49,1379991,Gilles Duceppe
CON,143,5209069,Stephen Harper
GRN,0,937613,Elizabeth May
LIB,77,3633185,Stéphane Dion
NDP,37,2515288,Jack Layton
OTH,2,159148,
