id,name,incumbent,party_leader,pm,mpp,premier,cabinet
254,Blair T. Longley
255,Réal Ménard
256,Sylvain Castonguay
257,Hélène Héroux
258,Gérard Labelle
259,Angelo M. Marino
260,François Pilon
261,Pablo Rodriguez
262,Alain Charette
263,Christian Doyle
264,Gabriel Girard-Bernier
265,Pierre Laliberté
266,Gilles Poirier
267,Marcel Proulx
268,Pierre-Olivier Brunelle
269,Liza Frulla
270,Claude William Genest
271,Matthew McLauchlin
272,Thierry St-Cyr
273,Sylvie Lavallée
274,Gérard Leclerc
275,Jean-François Lévêque
276,Pierre A. Paquette
277,Jacques Trudeau
278,Martin Bertrand
279,Jean-Pierre Blackburn
280,Sylvain Dompierre
281,Sébastien Gagnon
282,Gilles Savard
283,Peter Graham
284,Anne-Marie Guertin
285,Andrea Paine
286,Daniel Quinn
287,Francis Scarpaleggia
288,Marie-Migniaud Dominique
289,Francine Lalonde
290,Christian Prévost
291,Benjamin Rankin
292,Nicolas Tremblay
293,Georges-Alexandre Bastien
294,Jean-Paul Bédard
295,Serge Bellemare
296,May Chiu
297,Russ Johnson
298,Jean-Philippe Lebleu
299,Paul Martin
300,Rose-Aimée Auclair
301,Jean-Serge Beauregard
302,Johanne Deschamps
303,Jean-Pierre Fortin
304,Richard Savignac
305,Ginette Boutet
306,Carlos De Sousa
307,Gilles Duceppe
308,François Grégoire
309,Jocelyne Leduc
310,Dylan Perceval-Maxwell
311,Evelyn Elizabeth Ruiz
312,Soeung Tang
313,Nicky Tanguay
314,Benoît Beauchamp
315,Nicole Demers
316,Alia Haddad
317,Philippe Mari
318,Emilio Migliozzi
319,Raymonde Folco
320,Alain Giguère
321,Qais Hamidi
322,Theodore Kouretas
323,Christiane Pichette
324,Polyvios Tsakanikas
325,Shirley Baril
326,Steven Blaney
327,Eric Boucher
328,Normand Cadrin
329,Mathieu Castonguay
330,Réal Lapierre
331,Lancine Diawara
332,David Fiset
333,Philippe Haese
334,Sébastien Legris
335,Adam Sommerfeld
336,Caroline St-Hilaire
337,Raymond Côté
338,Odina Desrochers
339,Jacques Gourde
340,Eric Paradis
341,Shirley Picknell
342,Denis Blanchette
343,Hélène Chalifour Scherrer
344,Roger Clavet
345,Francis Fortin
346,Luc Harvey
347,Robert Hudon
348,Stefan Jetchick
349,Frédérick Têtu
350,Bernard Cleary
351,Robert Donnelly
352,Lucien Gravelle
353,Isa Gros-Louis
354,Christian Légaré
355,Josée Verner
356,Gérard Asselin
357,Pierre Ducasse
358,Jacques Gélineau
359,Randy Jones
360,Pierre Paradis
361,Eric Vivier
362,Lise Bissonnette
363,Martin Duplantis
364,Renée Gagné
365,Serge Ménard
366,Claude Moreau
367,Yvan Côté
368,Sarah Desjardins
369,Rodrigue Drapeau
370,Kim Leclerc
371,Stéphane Ricard
372,Jean-Yves Roy
373,Marc Boulianne
374,Yvan Corriveau
375,Jean François Hamel
376,Christian Paradis
377,Isabelle Tremblay
378,Luc Fortin
379,Roger Gaudet
380,Wendy Gorchinsky
381,Nancy Leclerc
382,Michel Paulette
383,Irwin Cotler
384,Neil Martin Drabkin
385,Guillaume Dussault
386,Diane Johnston
387,Damien Pichereau
388,Nicolas R. Thibodeau
389,Peter Deslauriers
390,Rachel Hoffman
391,Marlene Jennings
392,Alexandre Lambert
393,Allen F. Mackenzie
394,Pierre-Albert Sévigny
395,Earl Wertheimer
396,Armand Caouette
397,Pierre M. Denis
398,Gilles Gagnon
399,Yvon Lévesque
400,Dominique Vaillancourt
401,Eric Roach Denis
402,Daniel Fournier
403,Yan Lacombe
404,Jean-C. Lapierre
405,Léo-Paul Lauzon
406,Jacques Léonard
407,Régent Millette
408,Philip Paynter
409,François Pilon
410,Xavier Rochon
411,Linda Sullivan
412,Mahmood-Raza Baig
413,Vivian Barbot
414,Marc Hasbani
415,Peter Macrisopoulos
416,Pierre Pettigrew
417,Mustaque A. Sarker
418,Louis-Philippe Verenka
419,Garnet Colly
420,Denis Martel
421,Bernard Patry
422,Don Rae
423,Shameem Siddiqui
424,Leo Williams
425,Céline Brault
426,Lawrence Cannon
427,Christine Émond Lapointe
428,Moe Garahan
429,Benoit Legros
430,David Smith
431,André Arthur
432,Jérôme Beaulieu
433,Howard M. Bruce
434,Guy Côté
435,Jean-Marie Fiset
436,Gilles Landry
437,Dan Aubut
438,Francis Bedard
439,Frédérik Boisvert
440,Yonnel Bonaventure
441,Caroline Drolet
442,Christiane Gagnon
443,Michaël Lessard
444,Alexandre Raymond-Labrie
445,Réjean Bellemare
446,Josyanne Forest
447,Adam Jastrzebski
448,Claude Jr Lafortune
449,Benoît Sauvageau
450,Marie-Ève Hélie-Lambert
451,Louis Lacroix
452,Louis Plamondon
453,Ghislaine Provencher
454,Marie-Claude Roberge Cartier
455,André Bellavance
456,Laurier Busque
457,Jean Landry
458,Isabelle Maguire
459,Louis Napoléon Mercier
460,François Bédard
461,Guy Caron
462,Roger Picard
463,Louise Thibault
464,Michel Tremblay
465,Marie Martine Bédard
466,Francis Chartrand
467,Robert Frégeau
468,Érick Gauthier
469,Gilles-A. Perron
470,Paul Crête
471,Myriam Leblanc
472,Serge Lemay
473,Daniel Nadeau
474,Lise M. Vachon
475,Pierre Albert
476,Simon Bernier
477,Maude Genet
478,Monique Guay
479,Yannick Guénette
480,Luc Chiasson
481,Michel Gauthier
482,Sébastien Girard
483,Ghislain Lavoie
484,François Privé
485,Bernard Bigras
486,Marc-André Gadoury
487,Suzanne Harvey
488,Chantal Reeves
489,Michel Sauvé
490,Hugô St-Onge
491,Jules Édouard Gaudet
492,Marie Henretta
493,Kerline Joseph
494,Carole Lavallée
495,Elisabeth Papin
496,Nicolas Waldteufel
497,Joëlle Chevrier
498,Stéphane Deschênes
499,Huguette Guilhaumon
500,Yvan Loubier
501,Jacques Tétreault
502,Maro Akoury
503,Claude Bachand
504,Véronique Bisaillon
505,Mathieu-Gilles Lanciault
506,Francis Lévesque
507,Patrick Clune
508,Normand Fournier
509,Ronaldo Garcia
510,Jean-Jacques Hermans
511,Maka Kotto
512,Sonia Ziadé
513,Ishrat Alam
514,Fernand Deschamps
515,Stéphane Dion
516,Liz Elder
517,William Fayad
518,Gilles Mercier
519,Justine Charlemagne
520,Stéphane Chénier
521,Laura Colella
522,Massimo Pacetti
523,Pierre-Louis Parant
524,Ercolano Pingiotti
525,Pierre Audette
526,Jean-Yves Laforest
527,Claude Larocque
528,Martial Toupin
529,Lucille Whissell
530,Francine Brière
531,Jean Lambert
532,Paula Maundcote
533,Diane St-Jacques
534,Robert Vincent
535,Serge Cardin
536,Claudia Laroche-Martel
537,Marc Nadeau
538,Martin Plaisance
539,Robert Pouliot
540,Michel Quirion
541,Diane Bourgeois
542,Martin Drapeau
543,Daniel Lebel
544,Michel Le Clair
545,Maxime Thériault
546,Geneviève Boivin
547,Paule Brunelle
548,Martine Girard
549,Paul Giroux
550,Linda Lavoie
551,Luc Ménard
552,Stéphane Bourgon
553,Meili Faille
554,Marc Garneau
555,Bert Markgraf
556,Pierre Pariseau-Legault
557,Carl Danis
558,Luc Malo
559,Jean-Félix Racicot
560,Simon Vallée
561,Alanna Woods
562,Sophie Fréchette
563,Serge Lachapelle
564,Louise O'Sullivan
565,Lucienne Robillard
566,Julie Sabourin
567,Bill Sloan
568,Eric Wilson Steedman
569,Mark Holland
570,Russell Korus
