id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
133,Chuck Chiasson,Tobique--Mactaquac
134,Pierre Cyr,Tobique--Mactaquac
135,Rish McGlynn,Tobique--Mactaquac
136,Suzie Grenon,Abitibi--Témiscamingue
137,Steven Hébert,Abitibi--Témiscamingue
138,Marc Lemay,Abitibi--Témiscamingue
139,Christine Moore,Abitibi--Témiscamingue
140,Patrick Rochon,Abitibi--Témiscamingue
141,Jean-Olivier Berthiaume,Ahuntsic
142,Noushig Eloyan,Ahuntsic
143,Constantin Kiryakidis,Ahuntsic
144,Ted Kouretas,Ahuntsic
145,Maria Mourani,Ahuntsic
146,Chantal Reeves,Ahuntsic
147,Robert Carrier,Alfred-Pellan
148,Rosane Doré Lefebvre,Alfred-Pellan
149,Angelo G. Iacono,Alfred-Pellan
150,Pierre Lefebvre,Alfred-Pellan
151,Régent Millette,Alfred-Pellan
152,Dylan Perceval-Maxwell,Alfred-Pellan
153,Christian-Simon Ferlatte,Argenteuil--Papineau--Mirabel
154,Daniel Fox,Argenteuil--Papineau--Mirabel
155,Mylène Freeman,Argenteuil--Papineau--Mirabel
156,Michel Daniel Guibord,Argenteuil--Papineau--Mirabel
157,Mario Laframboise,Argenteuil--Papineau--Mirabel
158,Stephen Matthews,Argenteuil--Papineau--Mirabel
159,Yvan Patry,Argenteuil--Papineau--Mirabel
160,Serge Bergeron,Beauce
161,Maxime Bernier,Beauce
162,Etienne Doyon Lessard,Beauce
163,Claude Morin,Beauce
164,Sylvio Morin,Beauce
165,David Couturier,Beauharnois--Salaberry
166,Claude DeBellefeuille,Beauharnois--Salaberry
167,François Deslandres,Beauharnois--Salaberry
168,Rémi Pelletier,Beauharnois--Salaberry
169,Anne Minh-Thu Quach,Beauharnois--Salaberry
170,Sylvie Boucher,Beauport--Limoilou
171,Lorraine Chartier,Beauport--Limoilou
172,Raymond Côté,Beauport--Limoilou
173,Louise Courville,Beauport--Limoilou
174,Anne-Marie Genest,Beauport--Limoilou
