id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
0,R. John Efford,Avalon
1,Michael Kehoe,Avalon
2,Don C. Ferguson,Avalon
3,Rick Dalton,Avalon
4,Scott Simms,Bonavista--Exploits
5,John Lannon,Bonavista--Exploits
6,Rex Barnes,Bonavista--Exploits
7,Ed Sailor White,Bonavista--Exploits
8,Samuel Robert McLean,Bonavista--Exploits
9,Gerry Byrne,Humber--St. Barbe--Baie Verte
10,Holly Pike,Humber--St. Barbe--Baie Verte
11,Wynanne Downer,Humber--St. Barbe--Baie Verte
12,Steve Durant,Humber--St. Barbe--Baie Verte
13,Lawrence David O'Brien,Labrador
14,Lori-Ann Martino,Labrador
15,Shawn Crann,Labrador
16,Merrill Strachan,Labrador
17,Ern Condon,Labrador
18,Bill Matthews,Random--Burin--St. George's
19,Justin Dollimont,Random--Burin--St. George's
20,Larry Peckford,Random--Burin--St. George's
21,Des McGrath,Random--Burin--St. George's
22,Walter Noel,St. John's North
23,Norman E Doyle,St. John's North
24,Scott Vokey,St. John's North
25,Janine Piller,St. John's North
26,Siobhan Coady,St. John's South
27,Loyola Hearn,St. John's South
28,Peg Norman,St. John's South
29,Stephen Daniel Willcott,St. John's South
30,Lawrence MacAulay,Cardigan
31,Dave MacKinnon,Cardigan
32,Jeremy Stiles,Cardigan
33,Peter McQuaid,Cardigan
34,Shawn Murphy,Charlottetown
35,Dody Crane,Charlottetown
36,Will McFadden,Charlottetown
37,Baird Judson,Charlottetown
38,Darren Peters,Charlottetown
39,Joe McGuire,Egmont
40,Regena Kaye Russell,Egmont
41,Reg Harper,Egmont
42,Irené Novaczek,Egmont
43,Wayne Easter,Malpeque
44,Mary Crane,Malpeque
45,Sharon Labchuk,Malpeque
46,Ken Bingham,Malpeque
47,Rodger Cuzner,Cape Breton--Canso
48,Seumas Gibson,Cape Breton--Canso
49,Shirley Hartery,Cape Breton--Canso
50,Kenzie MacNeil,Cape Breton--Canso
51,Susan L. Green,Central Nova
52,Alexis MacDonald,Central Nova
53,Peter G. MacKay,Central Nova
54,Rebecca Mosher,Central Nova
55,Michael John Savage,Dartmouth--Cole Harbour
56,Susan MacAlpine-Gillis,Dartmouth--Cole Harbour
57,Tracy Parsons,Dartmouth--Cole Harbour
58,Mike MacDonald,Dartmouth--Cole Harbour
59,Charles Spurr,Dartmouth--Cole Harbour
60,Michael Marshall,Dartmouth--Cole Harbour
61,Sheila Fougere,Halifax
62,Kevin Leslie Keefe,Halifax
63,Michael Oddy,Halifax
64,Alexa McDonough,Halifax
65,Geoff Regan,Halifax West
66,Martin Willison,Halifax West
67,Ken MacPhee,Halifax West
68,Bill Carr,Halifax West
69,Scott Brison,Kings--Hants
70,Richard Hennigar,Kings--Hants
71,Jim Hnatiuk,Kings--Hants
72,Bob Mullan,Kings--Hants
73,Kevin Stacey,Kings--Hants
74,Skip Hambling,Kings--Hants
75,Dianne Brushett,North Nova
76,Jack Moors,North Nova
77,Bill Casey,North Nova
78,Sheila G. Richardson,North Nova
79,Margaret E. Sagar,North Nova
80,Dale Stevens,Sackville--Eastern Shore
81,Greg Moors,Sackville--Eastern Shore
82,Steve Streatch,Sackville--Eastern Shore
83,David Fullerton,Sackville--Eastern Shore
84,Peter Stoffer,Sackville--Eastern Shore
85,John Chandler,South Shore--St. Margaret's
86,Gordon Earle,South Shore--St. Margaret's
87,Gerald Keddy,South Shore--St. Margaret's
88,Katie Morris Boudreau,South Shore--St. Margaret's
89,Mark Eyking,Sydney--Victoria
90,B. Chris Gallant,Sydney--Victoria
91,Howie MacDonald,Sydney--Victoria
92,Cathy Thériault,Sydney--Victoria
93,John Hugh Edwards,Sydney--Victoria
94,Chris Milburn,Sydney--Victoria
95,Robert Thibault,West Nova
96,Jon Charles Carey,West Nova
97,Matthew Granger,West Nova
98,Edmund Arthur Bull,West Nova
99,Serge Rousselle,Acadie--Bathurst
100,Joel E. Bernard,Acadie--Bathurst
101,Yvon Godin,Acadie--Bathurst
102,Mario Lanteigne,Acadie--Bathurst
103,Dominic LeBlanc,Beauséjour
104,Angela Vautour,Beauséjour
105,Anna Girouard,Beauséjour
106,Omer Bourque,Beauséjour
107,Andy Scott,Fredericton
108,Kent Fox,Fredericton
109,Daron Letts,Fredericton
110,John Carty,Fredericton
111,John Herron,Fundy
112,Rob Moore,Fundy
113,David Raymond Amos,Fundy
114,Karin Bach,Fundy
115,Pat Hanratty,Fundy
116,Jean-Claude J.C. D'Amours,Madawaska--Restigouche
117,Rodolphe Martin,Madawaska--Restigouche
118,Benoit Violette,Madawaska--Restigouche
119,Jovette Cyr,Madawaska--Restigouche
120,Charles Isaac Hubbard,Miramichi
121,Hilaire Rousselle,Miramichi
122,Michael J. Morrison,Miramichi
123,Garry Sanipass,Miramichi
124,Claudette Bradshaw,Moncton--Riverview--Dieppe
125,Hélène Lapointe,Moncton--Riverview--Dieppe
126,Jean LeBlanc,Moncton--Riverview--Dieppe
127,Judith Hamel,Moncton--Riverview--Dieppe
128,Jim Dunlap,St. Croix--Belleisle
129,David Szemerda,St. Croix--Belleisle
130,Greg Thompson,St. Croix--Belleisle
131,Erik Matthew Millett,St. Croix--Belleisle
132,Patrick Webber,St. Croix--Belleisle
133,Paul Zed,Saint John
134,Jim Wood,Saint John
135,Bob McVicar,Saint John
136,Tom Oland,Saint John
137,Jonathan Cormier,Saint John
138,Terry Albright,Saint John
139,Andy Savoy,Tobique--Mactaquac
140,Mike Allen,Tobique--Mactaquac
141,Scott Jones,Tobique--Mactaquac
142,Jason Mapplebeck,Tobique--Mactaquac
143,Gilbert Barrette,Abitibi--Témiscamingue
144,Bernard Hugues Beauchesne,Abitibi--Témiscamingue
145,Marc Lemay,Abitibi--Témiscamingue
146,Patrick Rancourt,Abitibi--Témiscamingue
147,Dennis Shushack,Abitibi--Témiscamingue
148,Eleni Bakopanos,Ahuntsic
149,Maria Mourani,Ahuntsic
150,Jean E. Fortier,Ahuntsic
151,F.X. De Longchamp,Ahuntsic
152,Marsha Fine,Ahuntsic
153,Lynette Tremblay,Ahuntsic
154,Annick Bergeron,Ahuntsic
155,Carole-Marie Allard,Alfred-Pellan
156,Benjamin Le Bel,Alfred-Pellan
157,Rosane Raymond,Alfred-Pellan
158,Yves Desbois,Alfred-Pellan
159,Régent Millette,Alfred-Pellan
160,Robert Carrier,Alfred-Pellan
161,Louis-Philippe Verenka,Alfred-Pellan
162,Yves Sabourin,Argenteuil--Mirabel
163,Elisabeth Clark,Argenteuil--Mirabel
164,Claude Sabourin,Argenteuil--Mirabel
165,Laurent Filion,Argenteuil--Mirabel
166,David H. McArthur,Argenteuil--Mirabel
167,Mario Laframboise,Argenteuil--Mirabel
168,Michael O'Grady,Argenteuil--Mirabel
169,Claude Drouin,Beauce
170,Alain Guay,Beauce
171,Philippe Giguère,Beauce
172,Jean-François Barbe,Beauce
173,Michel Binette,Beauce
174,Serge Marcil,Beauharnois--Salaberry
175,Dominique Bellemare,Beauharnois--Salaberry
176,Félix Malboeuf,Beauharnois--Salaberry
177,Alain Boire,Beauharnois--Salaberry
178,Rémi Pelletier,Beauharnois--Salaberry
179,Ligy Alakkattussery,Beauharnois--Salaberry
180,Dennis Dawson,Beauport
181,Christian Simard,Beauport
182,Stephan Asselin,Beauport
183,Nicolas Frichot,Beauport
184,Jeannine T. Desharnais,Beauport
185,Xavier Trégan,Beauport
186,Laurier Thibault,Berthier--Maskinongé
187,Denis McKinnon,Berthier--Maskinongé
188,Eric Labrecque,Berthier--Maskinongé
189,Ann Julie Fortier,Berthier--Maskinongé
190,Guy André,Berthier--Maskinongé
191,Denis Coderre,Bourassa
192,Stefano Saykaly,Bourassa
193,Geneviève Royer,Bourassa
194,Noémi Lopinto,Bourassa
195,Doris Provencher,Bourassa
196,Philippe Gauvin,Bourassa
197,Frédéric Grenier,Bourassa
198,Denis Paradis,Brome--Missisquoi
199,Louise Martineau,Brome--Missisquoi
200,Piper Huggins,Brome--Missisquoi
201,Peter Stastny,Brome--Missisquoi
202,Christian Ouellet,Brome--Missisquoi
203,Jacques Saada,Brossard--La Prairie
204,Nadia Alexan,Brossard--La Prairie
205,Robert Nicolas,Brossard--La Prairie
206,Marcel Lussier,Brossard--La Prairie
207,Yves Le Seigle,Brossard--La Prairie
208,Cécile Bissonnette,Brossard--La Prairie
209,Sophie Joncas,Chambly--Borduas
210,Lucien Richard,Chambly--Borduas
211,Yves Lessard,Chambly--Borduas
212,Daniel Blouin,Chambly--Borduas
213,Benoit Lapointe,Chambly--Borduas
214,Jean-Marie Laliberté,Charlesbourg
215,François Villeneuve,Charlesbourg
216,Marilou Moisan-Domm,Charlesbourg
217,Bertrand Proulx,Charlesbourg
218,Benjamin Kasapoglu,Charlesbourg
219,Richard Marceau,Charlesbourg
220,Lisette Lepage,Charlevoix--Montmorency
