id,name,last_win_margin,party_leader,pm,mpp,premier,cabinet
0,Scott Andrews
1,Dave Aylward
2,Randy Wayne Dawe
3,Fabian Manning
4,Jason Holley
5,Andrew House
6,Robert Karl O'Connor
7,Scott Simms
8,Wayne Ronald Bennett
9,Gerry Byrne
10,Mark Kennedy
11,Lorne Robinson
12,Phyllis Artiss
13,Lacey Lewis
14,Nyssa Christine McLeod
15,Todd Russell
16,Herb Davis
17,Judy Foote
18,Kaitlin Wainwright
19,Terry White
20,Les Coultas
21,Jack Harris
22,Walter Noel
23,Howard Story
24,Shannon John Tobin
25,Craig Westcott
26,Terry Christopher Butler
27,Greg Byrne
28,Ryan Cleary
29,Siobhan Coady
30,Ted Warren
31,Merv Wiseman
32,Mike Avery
33,Emma Daughton
34,Lawrence MacAulay
35,Larry McGuire
36,Sid McMullin
37,Laura M. Bisaillon
38,Tom DeBlois
39,Baird Judson
40,Shawn Murphy
41,Brian Pollard
42,Orville Lewis
43,Keith Milligan
44,Rebecca Ridlington
45,Gail Shea
46,Peter Bevan-Baker
47,J'Nan Brown
48,Mary Crane
49,Wayne Easter
50,Rodger Cuzner
51,Dwayne MacEachern
52,Mark MacNeill
53,Allan Richard Murphy
54,Paul Kemp
55,Mary Louise Lorefice
56,Michael Harris MacKay
57,Peter Gordon MacKay
58,Elizabeth May
59,George Campbell
60,Brad Pye
61,Michael John Savage
62,Paul Shreenan
63,Wanda Webber
64,Ted Larsen
65,Megan Leslie
66,Catherine Meade
67,Tony Seed
68,Darryl Whetter
69,Trevor Ennis
70,Rakesh Khosla
71,Tamara Lorincz
72,Michael Munday
73,Geoff Regan
74,Scott Brison
75,Carol E. Harris
76,Jim Hnatiuk
77,Brendan MacNeill
78,Rosemary Segado
79,Joel E. Bernard
80,Bill Casey
81,Karen Olsson
82,Tracy Parsons
83,Rick Simpson
84,Noreen Hartlen
85,David Montgomery
86,Carolyn Scott
87,Peter Stoffer
88,Gordon S. Earle
89,Gerald Keddy
90,Joe Larkin
91,Michael Oddy
92,Bill Smith
93,Mark Eyking
94,Collin Harker
95,Wayne McKay
96,Kristen Rudderham
97,George Barron
98,Greg Kerr
99,Ronald Mills
100,Cindy M. Nesbitt
101,Robert Thibault
102,Michelle Aubin
103,Jean Guy Dubé
104,Yvon Godin
105,Odette Robichaud
106,Chris Durrant
107,Dominic LeBlanc
108,Omer Leger
109,Michael Milligan
110,Keith Ashfield
111,Mary Lou Babineau
112,David Innes
113,Ben Kelly
114,Jesse Travis
115,Erik Matthew Millett
116,Rob Moir
117,Rob Moore
118,Mark Wright
119,André Arpin
120,Jean-Claude JC D'Amours
121,Jean-Pierre Ouellet
122,Thérèse Tremblay-Philippe
123,Donald A. Doucet
124,Charles Hubbard
125,Tilly O'Neill-Gordon
126,Todd Smith
127,Daniel Allain
128,Carl Bainbridge
129,Alison Ménard
130,Brian Murphy
131,Robert Wayne Boucher
132,Andrew Graham
133,Nancy MacIntosh
134,Greg Thompson
135,Michael Moffat
136,Tony Mowery
137,Mike Richardson
138,Rodney Weston
139,Paul Zed
140,Mike Allen
141,Alice Finnamore
142,Mark Glass
143,Sally McGrath
144,Gilbert Barrette
145,Bruno Côté
146,Pierre Grandmaitre
147,Marc Lemay
148,Ghislain Loiselle
149,Christine Moore
150,Eleni Bakopanos
151,Alexandra Bélec
152,Maria Mourani
153,Jean Précourt
154,Lynette Tremblay
155,Robert Carrier
156,Tristan Desjardins Drouin
157,Régent Millette
158,Cynthia Roy
159,Wilson Saintelmy
160,Alexandre Salameh
161,Pierre Audette
162,Christian-Simon Ferlatte
163,Mario Laframboise
164,Scott Pearce
165,André Robert
166,Alain Senécal
167,Maxime Bernier
168,André Côté
169,Véronique Poulin
170,Nicolas Rochette
171,René Roy
172,Dominique Bellemare
173,Claude Debellefeuille
174,Maria Lopez
175,Anne Minh Thu Quach
176,David Smith
177,Simon-Pierre Beaudet
178,Simon Bédard
179,Sylvie Boucher
180,Luc Côté
181,Éléonore Mainguy
182,Yves Picard
183,Guy André
184,André Chauvette
185,Marie-Claude Godue
186,Denis Lefebvre
187,Jean-Luc Matteau
188,Michelle Allaire
189,François Boucher
190,Denis Coderre
191,Samira Laouni
192,Daniel Mailhot
193,Geneviève Royer
194,Christelle Bogosta
195,Pierre Brassard
196,David Marler
197,Christian Ouellet
198,Denis Paradis
199,Mark Quinlan
200,Maurice Brossard
201,Normand Chouinard
202,Marcel Lussier
203,Hoang Mai
204,Alexandra Mendes
205,Sonia Ziadé
206,Olivier Adam
207,Gabriel Arsenault
208,Suzanne Chartrand
209,Serge Gélinas
210,Yves Lessard
211,François Bédard
212,Denis Courteau
213,Anne-Marie Day
214,Denise Legros
215,Daniel Petit
216,Robert Gauthier
217,Michel Guimond
218,Jacques Legros
219,Guy-Léonard Tremblay
220,Jonathan Tremblay
221,Carole Freeman
222,Sonia Jurado
223,Pierre-Paul Routhier
224,Brian Sarwer-Foner
225,Linda Schwey
226,Robert Bouchard
227,Stéphane Girard
228,Jean-Guy Maltais
229,Marc Pettersen
230,Jean-François Veilleux
231,France Bonsant
232,Gary Caldwell
233,Michel Gagné
234,William Hogg
235,Jean Rousseau
236,Annick Corriveau
237,Jean Courchesne
238,Réginald Gagnon
239,André Komlosy
240,Roger Pomerleau
241,Raynald Blais
242,Denis Gauvreau
243,Darryl Gray
244,Gaston Langlais
245,Julien Leblanc
246,Françoise Boivin
247,David Inglis
248,Richard Nadeau
249,Michel Simard
250,Denis Tassé
251,Marianne Breton Fontaine
252,Christine Dandenault
253,Diane Dicaire
254,Luc Labbé
255,Simon Landry
256,Philippe Larochelle
257,Blair T. Longley
258,Réal Ménard
259,Jean-Claude Rocheleau
260,Rodrigo Alfaro
261,Gaëtan Bérard
262,Gérard Labelle
263,François Pilon
264,Pablo Rodriguez
265,Raphaël Déry
266,Pierre Ducasse
267,Paul Fréchette
268,Gabriel Girard-Bernier
269,Frédéric Pouyot
270,Marcel Proulx
271,Daniel Beaudin
272,Daniel Breton
273,Christian P. Feuillette
274,Darryl Gray
275,Véronik Sansoucy
276,Thierry St-Cyr
277,Annie Durette
278,Sylvie Lavallée
279,Pierre Paquette
280,Francine Raynault
281,Suzie St-Onge
282,Jean-Pierre Blackburn
283,Chantale Bouchard
284,Marc Dupéré
285,Jean-François Paradis
286,Maxime Clément
287,Peter Graham
288,Andrea Paine
289,Daniel Quinn
290,Francis Scarpaleggia
291,Ben 97 Benoit
292,Claude Brunelle
293,Domita Cundari
294,Francine Lalonde
295,Isabelle Maguire
296,Hubert Pichet
297,Oumy Sarr
298,Amy Darwish
299,Béatrice Guay-Pepper
300,Frédéric Isaya
301,Antoine Kaluzny
302,Yves Le Seigle
303,Kristina Vitelli
304,Lise Zarac
305,Johanne Deschamps
306,David Dupras
307,Pierre Gfeller
308,Guy Joncas
309,Jacques Rigal
310,Sébastien Caron
311,Gilles Duceppe
312,François Yo Gourd
313,François Grégoire
314,Serge Lachapelle
315,"Daniel ""F4J"" Laforest"
316,Charles K. Langford
317,Samie Pagé-Quirion
318,Dylan Perceval-Maxwell
319,Jean-Pierre Bélisle
320,Yvon Breton
321,Nicole Demers
322,Alain Giguère
323,Alia Haddad
324,Eric Madelein
325,Zahia El-Masri
326,Agop Evereklian
327,Raymonde Folco
328,Mohamedali Jetha
329,Brent Neil
330,Sylvain A. Trottier
331,Guy Bergeron
332,Gabriel Biron
333,Steven Blaney
334,Lynne Champoux-Williams
335,Pauline Côté
336,Normand Fournier
337,Jacques Bouchard
338,Jean Dorion
339,Ryan Hillier
340,Danielle Moreau
341,Serge Patenaude
342,Lise St-Denis
343,Raymond Côté
344,Jacques Gourde
