id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
0,Scott Andrews,Avalon
1,Jeannie Baldwin,Avalon
2,Lorraine E. Barnett,Avalon
3,Krista Byrne-Puumala,Avalon
4,Jennifer McCreath,Avalon
5,Ken McDonald,Avalon
6,Jenn Brown,Bonavista--Burin--Trinity
7,Tyler John Colbourne,Bonavista--Burin--Trinity
8,Judy M. Foote,Bonavista--Burin--Trinity
9,Mike Windsor,Bonavista--Burin--Trinity
10,Claudette Menchenton,Coast of Bays--Central--Notre Dame
11,Kevin George O'Brien,Coast of Bays--Central--Notre Dame
12,Elizabeth Perry,Coast of Bays--Central--Notre Dame
13,Scott Simms,Coast of Bays--Central--Notre Dame
14,Yvonne Jones,Labrador
15,Peter Penashue,Labrador
16,Edward Rudkowski,Labrador
17,Devon Babstock,Long Range Mountains
18,Terry Cormier,Long Range Mountains
19,Gudie Hutchings,Long Range Mountains
20,Wayne Ruth,Long Range Mountains
21,Sean Burton,St. John's East 
22,Jack Harris,St. John's East 
23,David Anthony Peters,St. John's East 
24,Deanne Stapleton,St. John's East 
25,Nick Whalen,St. John's East 
26,Ryan Cleary,St. John's South--Mount Pearl
27,Marek Krol,St. John's South--Mount Pearl
28,Jackson McLean,St. John's South--Mount Pearl
29,Seamus O'Regan,St. John's South--Mount Pearl
30,Billy Cann,Cardigan
31,Teresa Doyle,Cardigan
32,Lawrence MacAulay,Cardigan
33,Julius Patkai,Cardigan
34,Christene Squires,Cardigan
35,Joe Byrne,Charlottetown
36,Sean Casey,Charlottetown
37,Ron MacMillan,Charlottetown
38,Becka Viau,Charlottetown
39,Herb Dickieson,Egmont
40,Nils Ling,Egmont
41,Bobby Morrissey,Egmont
42,Gail Shea,Egmont
43,Wayne Easter,Malpeque
44,Leah-Jane Hayward,Malpeque
45,Lynne Lund,Malpeque
46,Stephen Stewart,Malpeque
47,Maria Goretti Coady,Cape Breton--Canso
48,Rodger Cuzner,Cape Breton--Canso
49,Adam Daniel Rodgers,Cape Breton--Canso
50,Michelle Smith,Cape Breton--Canso
51,Fred DeLorey,Central Nova
52,Sean Fraser,Central Nova
53,David Hachey,Central Nova
54,Ross Landry,Central Nova
55,Alexander J. MacKenzie,Central Nova
56,Scott Armstrong,Cumberland--Colchester
57,Jason Matthew Blanch,Cumberland--Colchester
58,Bill Casey,Cumberland--Colchester
59,Kenneth Jackson,Cumberland--Colchester
60,Richard Trueman Plett,Cumberland--Colchester
61,Wendy Robinson,Cumberland--Colchester
62,Robert Chisholm,Dartmouth--Cole Harbour
63,Jason Cole,Dartmouth--Cole Harbour
64,Darren Fisher,Dartmouth--Cole Harbour
65,Brynn Nheiley,Dartmouth--Cole Harbour
66,Allan Bezanson,Halifax
67,Irvine Carvery,Halifax
68,Andy Fillmore,Halifax
69,Megan Leslie,Halifax
70,Thomas Trappenberg,Halifax
71,Joanne Hussey,Halifax West
72,Michael McGinnis,Halifax West
73,Geoff Regan,Halifax West
74,Richard Henryk Zurawski,Halifax West
75,Scott Brison,Kings--Hants
76,Megan Brown-Hodges,Kings--Hants
77,Will Cooper,Kings--Hants
78,Hugh Curry,Kings--Hants
79,David Morse,Kings--Hants
80,Edd Twohig,Kings--Hants
81,Clifford James Williams,Kings--Hants
82,Mike Montgomery,Sackville--Preston--Chezzetcook
83,Darrell Samson,Sackville--Preston--Chezzetcook
84,Peter Stoffer,Sackville--Preston--Chezzetcook
85,Robert Thomas Strickland,Sackville--Preston--Chezzetcook
86,Ryan Barry,South Shore--St. Margarets
87,Richard Biggar,South Shore--St. Margarets
88,Trevor Bruhm,South Shore--St. Margarets
89,Richard Clark,South Shore--St. Margarets
90,Alex Godbold,South Shore--St. Margarets
91,Bernadette Jordan,South Shore--St. Margarets
92,John Douglas Chiasson,Sydney--Victoria
93,Monika Dutt,Sydney--Victoria
94,Mark Eyking,Sydney--Victoria
95,Wayne James Hiscock,Sydney--Victoria
96,Adrianna MacKinnon,Sydney--Victoria
97,Greg Foster,West Nova
98,Colin Fraser,West Nova
99,Arnold LeBlanc,West Nova
100,Clark Walton,West Nova
101,Dominique Breau,Acadie--Bathurst
