ALL,308,13564702,
BQ,54,1680109,Gilles Duceppe
CON,99,4019498,Stephen Harper
GRN,0,582247,Jim Harris
LIB,135,4982220,Paul Martin
NDP,19,2127403,Jack Layton
OTH,1,173225,
