ALL,308,14817159,
BQ,51,1553201,Gilles Duceppe
CON,124,5374071,Stephen Harper
GRN,0,664068,Jim Harris
LIB,103,4479415,Paul Martin
NDP,29,2589597,Jack Layton
OTH,1,156807,
