Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
12005	Halifax	Halifax	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Bezanson	Allan		15-Sep-15	11:45:00
12005	Halifax	Halifax	Conservative Party of Canada	Parti conservateur du Canada	Carvery	Irvine		15-Sep-15	10:45:00
12005	Halifax	Halifax	Liberal Party of Canada	Parti libéral du Canada	Fillmore	Andy		28-Aug-15	1:00:00
12005	Halifax	Halifax	New Democratic Party	Nouveau Parti démocratique	Leslie	Megan		19-Aug-15	9:00:00
12005	Halifax	Halifax	Green Party of Canada	Le Parti Vert du Canada	Trappenberg	Thomas		04-Sep-15	11:59:00
12006	Halifax West	Halifax-Ouest	New Democratic Party	Nouveau Parti démocratique	Hussey	Joanne		21-Aug-15	3:55:00
12006	Halifax West	Halifax-Ouest	Conservative Party of Canada	Parti conservateur du Canada	McGinnis	Michael		25-Sep-15	11:30:00
12006	Halifax West	Halifax-Ouest	Liberal Party of Canada	Parti libéral du Canada	Regan	Geoff		13-Aug-15	3:34:00
12006	Halifax West	Halifax-Ouest	Green Party of Canada	Le Parti Vert du Canada	Zurawski	Richard Henryk		26-Sep-15	9:32:00
12007	Kings--Hants	Kings--Hants	Liberal Party of Canada	Parti libéral du Canada	Brison	Scott		21-Aug-15	12:50:00
12007	Kings--Hants	Kings--Hants	Rhinoceros Party	Parti Rhinocéros	Brown-Hodges	Megan		04-Sep-15	9:25:00
12007	Kings--Hants	Kings--Hants	Green Party of Canada	Le Parti Vert du Canada	Cooper	Will		18-Sep-15	10:30:00
12007	Kings--Hants	Kings--Hants	New Democratic Party	Nouveau Parti démocratique	Curry	Hugh		18-Sep-15	4:36:00
12007	Kings--Hants	Kings--Hants	Conservative Party of Canada	Parti conservateur du Canada	Morse	David		25-Aug-15	12:09:00
12007	Kings--Hants	Kings--Hants	Independent	Indépendant	Twohig	Edd		22-Sep-15	1:36:00
12007	Kings--Hants	Kings--Hants	Independent	Indépendant	Williams	Clifford James		16-Sep-15	2:30:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Green Party of Canada	Le Parti Vert du Canada	Montgomery	Mike		15-Sep-15	3:28:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Liberal Party of Canada	Parti libéral du Canada	Samson	Darrell		19-Aug-15	12:06:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	New Democratic Party	Nouveau Parti démocratique	Stoffer	Peter		04-Sep-15	1:53:00
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	Conservative Party of Canada	Parti conservateur du Canada	Strickland	Robert Thomas		04-Sep-15	4:22:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Communist Party of Canada	Parti communiste du Canada	Barry	Ryan		11-Sep-15	3:30:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Green Party of Canada	Le Parti Vert du Canada	Biggar	Richard		19-Sep-15	9:35:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Independent	Indépendant	Bruhm	Trevor		25-Sep-15	11:00:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Conservative Party of Canada	Parti conservateur du Canada	Clark	Richard		21-Aug-15	12:35:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	New Democratic Party	Nouveau Parti démocratique	Godbold	Alex		27-Aug-15	4:15:00
12009	South Shore--St. Margarets	South Shore--St. Margarets	Liberal Party of Canada	Parti libéral du Canada	Jordan	Bernadette		19-Aug-15	2:20:00
